Drug,Slang
Amphetamine,Amy
Amphetamine,Amps
Amphetamine,Bam
Amphetamine,B-Bombs
Amphetamine,Beans
Amphetamine,Bennies
Amphetamine,Benz
Amphetamine,Black and Whites
Amphetamine,Black Beauties
Amphetamine,Black Birds
Amphetamine,Black
Amphetamine,Bombers
Amphetamine,Black Mollies
Amphetamine,Blacks
Amphetamine,Blue Boys
Amphetamine,Bombita
Amphetamine,Brain Ticklers
Amphetamine,Brownies
Amphetamine,Bumblebees
Amphetamine,Cartwheels
Amphetamine,Chalk
Amphetamine,Chicken Powder
Amphetamine,Chochos
Amphetamine,Christina
Amphetamine,Chunk
Amphetamine,Co-Pilot
Amphetamine,Coasts to Coasts
Amphetamine,Crisscross
Amphetamine,Cross Roads
Amphetamine,Cross Tops
Amphetamine,Debs
Amphetamine,Dexies
Amphetamine,Diablos
Amphetamine,Diamonds
Amphetamine,Diet Pills
Amphetamine,Dolls
Amphetamine,Dominoes
Amphetamine,Double Cross
Amphetamine,Drivers
Amphetamine,Fives
Amphetamine,Footballs
Amphetamine,French Blues
Amphetamine,Goofballs
Amphetamine,Greenies
Amphetamine,Head Drugs
Amphetamine,Hearts
Amphetamine,Horse Heads
Amphetamine,In- Between
Amphetamine,Jelly Babies
Amphetamine,Jelly Beans
Amphetamine,Jolly Beans
Amphetamine,Jugs
Amphetamine,Leapers
Amphetamine,Lid Poppers
Amphetamine,Lightening
Amphetamine,Little Bombs
Amphetamine,Marathons
Amphetamine,Mini Beans
Amphetamine,Mini
Amphetamine,Bennies
Amphetamine,Morning Shot
Amphetamine,Nuggets
Amphetamine,Oranges
Amphetamine,Pastillas
Amphetamine,Peaches
Amphetamine,Pep Pills
Amphetamine,Pink Hearts
Amphetamine,Pixies
Amphetamine,Pollutants
Amphetamine,Purple Hearts
Amphetamine,Rhythm
Amphetamine,Rippers
Amphetamine,Road Dope
Amphetamine,Roses
Amphetamine,Rueda
Amphetamine,Snaps
Amphetamine,Snow Pallets
Amphetamine,Sparkle Plenty
Amphetamine,Sparklers
Amphetamine,Speed
Amphetamine,Splash
Amphetamine,Sweeties
Amphetamine,Sweets
Amphetamine,Tens
Amphetamine,Thrusters
Amphetamine,TR-6s
Amphetamine,Truck Drivers
Amphetamine,Turnabouts
Amphetamine,Uppers
Amphetamine,Wake Ups
Amphetamine,West Coast Turnarounds
Amphetamine,Wheels
Amphetamine,Whiffle Dust
Amphetamine,White Crosses
Amphetamine,Whites
Amphetamine,Zoomers
Cocaine,777
Cocaine,A-1
Cocaine,All-American Drug
Cocaine,Angel Powder
Cocaine,Angie
Cocaine,Animals
Cocaine,Audi
Cocaine,Aunt Nora
Cocaine,Azucar
Cocaine,Baby Powder
Cocaine,Barrato
Cocaine,Basuco
Cocaine,Bazooka
Cocaine,Beach
Cocaine,Belushi (mixed with heroin)
Cocaine,Bernie’s Flakes
Cocaine,Bernie’s Gold Dust
Cocaine,Big Bloke
Cocaine,Big C
Cocaine,Big Flake
Cocaine,Big Rush
Cocaine,Billie Hoke
Cocaine,Bird
Cocaine,Birdie Powder
Cocaine,Blanca Nieves
Cocaine,Blanco
Cocaine,Blast
Cocaine,Blizzard
Cocaine,Blonde
Cocaine,Blocks
Cocaine,Blow
Cocaine,BMW
Cocaine,Bobo
Cocaine,Bolitas
Cocaine,Bolivian Marching Powder
Cocaine,Bombita (mixed with heroin)
Cocaine,Bouncing Powder
Cocaine,Brisa
Cocaine,C-Dust
Cocaine,Caca
Cocaine,Cadillac
Cocaine,California Pancakes
Cocaine,Calves
Cocaine,Candy
Cocaine,Car
Cocaine,Carney
Cocaine,Carrie Nation
Cocaine,Cars
Cocaine,Case
Cocaine,Cebolla
Cocaine,Cecil
Cocaine,Cement
Cocaine,Charlie
Cocaine,Chevy
Cocaine,Cheyenne
Cocaine,Chinos
Cocaine,Chiva
Cocaine,Clear Kind
Cocaine,Clear Tires
Cocaine,Coca
Cocaine,Coca-Cola
Cocaine,Cocazo
Cocaine,Coconut
Cocaine,Coke
Cocaine,Cola
Cocaine,Colorado
Cocaine,Connie
Cocaine,Cookie
Cocaine,Crow
Cocaine,Crusty Treats
Cocaine,Cuadro
Cocaine,Death Valley
Cocaine,Designer
Cocaine,Jeans
Cocaine,Devil’s Dandruff
Cocaine,Diente
Cocaine,Dienton
Cocaine,Dona Blanca
Cocaine,Double Bubble
Cocaine,Dove
Cocaine,Dream
Cocaine,Dulces
Cocaine,Duracell
Cocaine,Dust
Cocaine,Escama
Cocaine,Escorpino
Cocaine,Falopa
